2166,348
371,50
1244,181
5,373
7584,85
4926,117
5772,333
9975,256
2318,21
2943,365
779,333
3929,49
911,67
6546,240
5263,330
6983,166
149,361
7284,332
4670,105
9558,338
4305,314
8149,284
5062,371
4030,271
7126,57
7050,299
5404,274
8113,283
3436,9
5518,292
3356,67
7702,378
1050,124
371,10
2850,367
7554,370
3962,310
1620,386
7198,198
593,109
1384,359
6856,233
6088,51
9507,32
5469,307
4560,176
6463,182
9713,109
270,79
5,316
323,180
3950,361
5541,22
7434,231
8873,251
5680,74
4812,307
3632,220
8349,142
4302,69
5576,222
3041,106
1152,328
2464,88
7204,244
4355,292
1679,137
1675,298
3790,40
6287,327
8409,392
9319,263
344,37
8613,220
4686,328
1193,84
6878,251
2765,123
788,288
6189,229
7607,331
4867,356
4034,311
1542,233
937,60
3392,71
7963,254
2818,222
7030,169
4826,150
1460,161
3272,153
6093,110
3990,83
317,79
6711,83
2246,36
5359,197
7445,298
8471,41
528,283
1125,368
9742,205
2255,119
2824,281
7417,51
6431,285
36,200
2165,226
4574,245
6185,244
5684,358
3715,139
2128,142
2202,319
6833,353
327,266
5177,69
4258,42
415,10
9801,255
1827,63
1831,353
8700,39
5369,166
9915,381
9303,237
868,103
4832,60
7034,1
7421,79
5428,97
3144,314
5865,82
3887,309
8490,270
2304,391
806,84
382,15
2256,317
4215,319
9338,337
9562,85
8037,330
575,370
7694,21
3006,295
4802,42
8054,390
260,116
2066,84
2515,61
2991,162
2637,40
3902,128
3973,240
7263,180
8946,63
5376,308
5979,233
7123,70
4773,315
7329,279
3743,178
7431,195
2357,376
2118,97
3849,265
8175,394
4137,146
3762,212
2181,168
3519,271
2821,225
203,293
2605,394
8962,143
5025,63
7436,305
1377,66
5107,354
8229,197
6005,268
9822,276
9327,96
3724,30
208,118
3001,133
7136,128
7265,376
8207,63
6265,285
4806,299
3711,374
7592,233
7017,228
8900,366
3895,19
7330,198
2371,256
6186,381
7065,394
8319,319
167,383
2585,262
8663,147
1625,46
7256,25
1213,210
5237,300
1860,329
6053,287
6004,68
3954,383
1905,178
2051,219
5905,135
2641,345
5753,371
3493,229
8372,124
3094,270
984,380
3163,332
1044,163
266,61
7268,361
1279,11
3231,356
8233,229
1457,387
4538,206
3616,285
3552,365
729,396
9092,214
5442,218
2581,358
7183,389
582,298
6710,210
1636,198
2082,214
8621,207
7252,34
7374,130
6837,68
4808,375
7594,181
1580,396
3222,18
8363,162
1703,119
7275,45
6610,129
1634,229
2157,116
9205,296
9609,191
2927,226
524,316
8280,382
1832,356
9515,40
2799,17
522,72
9773,369
9521,194
302,355
7539,170
9612,73
5886,118
335,13
9139,208
2453,98
8612,284
1007,137
615,360
7719,126
253,197
7595,247
8307,62
1097,195
5429,21
2046,173
9516,243
3350,56
7079,297
1640,236
2510,300
5232,143
9132,15
2075,398
8401,14
3472,201
642,400
7636,243
4497,384
3079,50
4525,371
5720,49
4674,323
5489,10
1420,207
6370,260
949,217
4555,117
1667,155
3665,215
6398,296
5117,59
7794,161
2078,373
8141,386
517,233
2623,172
3483,132
4064,280
4248,33
1681,203
8761,153
210,294
9603,143
9959,97
7119,265
9836,231
2276,267
4494,236
7647,50
9200,286
6237,83
2781,253
5222,194
6346,71
4204,293
816,4
8585,106
6628,45
7334,343
4502,152
4562,385
7440,180
1955,28
9094,68
5776,77
4477,118
467,318
7244,306
8045,141
124,162
1372,71
1930,234
6282,37
3131,387
4066,267
4015,195
6260,185
5823,45
8203,144
9241,223
4927,326
8714,190
874,287
9556,234
4650,268
2796,113
6309,8
1974,181
1854,370
8583,289
1344,350
793,93
240,224
9446,298
6845,180
7455,331
3855,132
3951,303
3554,213
9815,60
4858,219
4918,41
1717,359
5133,115
5290,107
9226,146
4928,245
5712,9
8288,10
4627,260
9452,298
3208,59
4236,73
5847,119
8718,316
8194,263
7472,149
8979,47
